## //////////////////////////////////////////////////////////////////////////////////
## 
## PEATLAND C BALANCE (LPX)
## 
## Annual peatland net ecosystem productivity (NEP) and total global peatland C 
## storage (TOTC), simulated by LPX. 
## 
## NEP represents the net CO2 exchange between the biosphere and the atmosphere over 
## active peatlands only. This is compared to annual values of NCB in Fig. S1 (Stocker 
## et al., 2017). TOTC represents the total global amount of C stored in active 
## peatlands as simulated by LPX and is compared in Fig. 1 (Stocker 
## et al., 2017) to cumulative values of YML NCB. Cumulative NEP is not identical to 
## TOTC due to simulated spatial shifts in peatland extent and decaying peat C not
## accounted for in NEP.
## 
## Citation: Stocker et al.: Holocene peatland and ice core data constraints on 
## the timing and magnitude of CO2 emissions from past land use, PNAS, 2017
##
## This data is made available under the GNU General Public License v3.0
##
## Columns description:
## 1.  year      year CE
## 2.  nep       net ecosystem productivity, summed over all peatland areas globally (PgC yr-1)
## 3.  totc      total global carbon storage in peatlands (PgC)
## 
## ----------------------------------------------------------------------------------
"year","nep","totc"
-5555,0.052327206,397.62376
-5545,0.058801122,396.24131
-5535,0.059032559,397.3527
-5525,0.06271176,400.46489
-5515,0.055700393,402.30562
-5505,0.055937777,404.74752
-5495,0.042227972,403.57307
-5485,0.04348793,403.28505
-5475,0.048195777,402.84184
-5465,0.044133566,403.81801
-5455,0.050422365,402.58051
-5445,0.052127845,404.44613
-5435,0.051068896,404.33769
-5425,0.062137614,406.88946
-5415,0.056807574,407.58649
-5405,0.063102403,405.17786
-5395,0.045536935,403.16901
-5385,0.059228826,400.34381
-5375,0.051900063,398.67223
-5365,0.060903067,397.92395
-5355,0.058330035,398.689
-5345,0.068835042,402.40137
-5335,0.051006071,406.52039
-5325,0.041918205,406.58799
-5315,0.050681096,407.0145
-5305,0.050338342,406.74362
-5295,0.05495501,409.16935
-5285,0.060597961,407.02744
-5275,0.059132805,404.66087
-5265,0.05321089,403.73803
-5255,0.05839898,403.21347
-5245,0.062258716,405.54924
-5235,0.05136569,406.67954
-5225,0.048194655,410.12816
-5215,0.05392086,410.70609
-5205,0.048364922,407.71039
-5195,0.06008212,407.20542
-5185,0.042386943,408.37442
-5175,0.048674322,408.12781
-5165,0.029881968,404.45287
-5155,0.052915407,405.25753
-5145,0.04994491,405.24493
-5135,0.058769756,406.82663
-5125,0.064570942,407.01308
-5115,0.059917632,410.24425
-5105,0.068386316,413.92082
-5095,0.062321699,416.03178
-5085,0.06627251,417.82137
-5075,0.060397515,417.52358
-5065,0.056804089,417.34327
-5055,0.056742758,417.44699
-5045,0.055310542,419.49113
-5035,0.043905539,419.33531
-5025,0.042511941,418.67582
-5015,0.037537476,421.55093
-5005,0.055136315,422.6715
-4995,0.046050271,422.19014
-4985,0.066878129,418.50656
-4975,0.052241917,416.26618
-4965,0.044231978,414.7894
-4955,0.066699939,415.0957
-4945,0.046103703,415.24483
-4935,0.056024425,417.66094
-4925,0.032865704,420.85517
-4915,0.026509447,424.62672
-4905,0.046313266,427.20794
-4895,0.057757551,426.77425
-4885,0.052567277,429.63885
-4875,0.035097457,432.76475
-4865,0.045188075,435.99414
-4855,0.06332459,437.24224
-4845,0.056586676,436.28889
-4835,0.065659413,434.31921
-4825,0.012635723,436.66242
-4815,0.066972568,435.94875
-4805,0.048327622,437.24603
-4795,0.063944247,434.52768
-4785,0.064236151,435.81679
-4775,0.065528794,437.34824
-4765,0.066426785,439.08367
-4755,0.053897024,440.03482
-4745,0.047868113,441.45854
-4735,0.053306376,441.18862
-4725,0.04804602,441.22023
-4715,0.042301161,441.71344
-4705,0.044716559,443.36814
-4695,0.042356993,445.72515
-4685,0.037126444,446.85181
-4675,0.042805866,448.80165
-4665,0.043823027,448.73521
-4655,0.044347318,448.62928
-4645,0.054100424,447.4212
-4635,0.057020238,443.21448
-4625,0.051084235,442.07504
-4615,0.043775324,443.15582
-4605,0.053726977,445.14873
-4595,0.052559694,446.61556
-4585,0.043120451,443.84717
-4575,0.046154953,445.36686
-4565,0.060160482,444.87047
-4555,0.056365923,444.09913
-4545,0.055192501,442.54396
-4535,0.059513662,441.92978
-4525,0.052541646,443.00753
-4515,0.06371022,443.74671
-4505,0.063442487,445.89332
-4495,0.055815582,445.33492
-4485,0.063355282,444.74241
-4475,0.046196384,442.25035
-4465,0.054791796,441.56581
-4455,0.056471628,438.98366
-4445,0.06219534,436.22412
-4435,0.060680394,433.9799
-4425,0.060090802,431.0035
-4415,0.066613398,434.34442
-4405,0.030986889,441.19677
-4395,0.039870401,448.56097
-4385,0.059542412,450.90927
-4375,0.053767286,450.26565
-4365,0.054940188,452.74169
-4355,0.057123331,453.36519
-4345,0.063189483,451.44072
-4335,0.063601936,446.5839
-4325,0.059965249,441.35702
-4315,0.061571036,438.55852
-4305,0.062212068,436.47257
-4295,0.058375742,436.45922
-4285,0.065046728,438.30804
-4275,0.052322201,441.6563
-4265,0.050858315,446.19804
-4255,0.056397942,448.63419
-4245,0.048423163,449.77179
-4235,0.03539911,448.06947
-4225,0.043401399,448.99172
-4215,0.045420477,451.22501
-4205,0.046475484,457.40464
-4195,0.059518654,462.22766
-4185,0.058347967,466.10406
-4175,0.053522546,465.71616
-4165,0.067125244,464.83821
-4155,0.058846849,463.42555
-4145,0.061563271,462.12539
-4135,0.056936218,461.91344
-4125,0.060133888,464.41026
-4115,0.054017392,464.42593
-4105,0.044332735,467.29859
-4095,0.05955302,469.283
-4085,0.053768356,470.24235
-4075,0.058529717,467.28001
-4065,0.060283348,464.10793
-4055,0.054279749,462.68922
-4045,0.064138344,466.02583
-4035,0.065966246,468.30826
-4025,0.071156307,467.58774
-4015,0.059309463,463.84775
-4005,0.054070578,460.75929
-3995,0.044952035,458.44123
-3985,0.043582195,459.21862
-3975,0.055387277,458.83377
-3965,0.04509633,459.25257
-3955,0.054128184,457.82515
-3945,0.054760078,461.09617
-3935,0.051194702,464.01391
-3925,0.045148837,467.38885
-3915,0.048616939,467.03511
-3905,0.057997764,466.71169
-3895,0.051511825,464.61461
-3885,0.055099331,465.28983
-3875,0.054638803,466.47988
-3865,0.061183816,467.68424
-3855,0.05881609,468.79232
-3845,0.05500253,469.93061
-3835,0.061076089,471.05528
-3825,0.052439414,473.07017
-3815,0.058954439,474.396
-3805,0.06705919,475.92382
-3795,0.055783082,478.11213
-3785,0.063672553,477.6823
-3775,0.045098614,477.33715
-3765,0.057488244,478.80131
-3755,0.052213156,479.84903
-3745,0.047221013,481.96487
-3735,0.04080005,482.6645
-3725,0.048176408,483.92403
-3715,0.053935313,482.15589
-3705,0.054888143,480.22707
-3695,0.061805142,481.03756
-3685,0.052981443,482.97875
-3675,0.056593604,482.38106
-3665,0.058993511,482.90706
-3655,0.061470913,484.19027
-3645,0.063272546,488.43195
-3635,0.068138207,488.93638
-3625,0.057212274,489.30218
-3615,0.056359308,488.97062
-3605,0.067306064,486.5915
-3595,0.053332895,484.67341
-3585,0.063647645,481.87031
-3575,0.055541732,484.16595
-3565,0.060052375,488.89537
-3555,0.049088755,492.73635
-3545,0.056350489,491.788
-3535,0.05784206,488.57791
-3525,0.051068796,488.02157
-3515,0.04687976,491.17185
-3505,0.039647882,491.66154
-3495,0.030476276,489.41512
-3485,0.053839461,489.1114
-3475,0.047418233,489.71945
-3465,0.057187675,492.01503
-3455,0.04879396,493.51761
-3445,0.045444053,494.68198
-3435,0.055067456,495.43735
-3425,0.056463504,495.15462
-3415,0.053853519,494.80881
-3405,0.066504061,496.05685
-3395,0.059494213,499.70755
-3385,0.051291363,503.4117
-3375,0.060481532,502.68198
-3365,0.066855203,501.65158
-3355,0.061308603,506.64031
